Song-Name,Singer/Artists,Genre,Album/Movie,emotion,videoId,channelTitle
Main Rang Sharbaton Ka,Atif Aslam,BollywoodRomantic,Phata Poster Nikhla Hero,love,RBCk1SyC1PA,https://i.ytimg.com/vi/RBCk1SyC1PA/hqdefault.jpg
Raazi Title Track,Arijit Singh,BollywoodMotivational,Raazi,surprise,c4ZteOtHWQ0,https://i.ytimg.com/vi/c4ZteOtHWQ0/hqdefault.jpg
Hum Tumhe Chahte Hai Aise,"Anand Kumar C, Kanchan, Manhar Udhas",BollywoodRomantic,Qurbani,love,9oaMOrWWTyc,https://i.ytimg.com/vi/9oaMOrWWTyc/hqdefault.jpg
Ittefaq Se Raat Baaki,"Jubin Nautiyal, Nikhita Gandhi",BollywoodDance,Ittefaq,joy,GixOBBE1VFw,https://i.ytimg.com/vi/GixOBBE1VFw/hqdefault.jpg
Oye Oye,"Aditi Singh Sharma, Armaan Malik",BollywoodDance,Azhar,joy,zjDpgqZ0G0M,https://i.ytimg.com/vi/zjDpgqZ0G0M/hqdefault.jpg
Sooraj Dooba Hai,"Adit Singh Sharma, Arijit Singh",BollywoodDance,Roy,joy,nJZcbidTutE,https://i.ytimg.com/vi/nJZcbidTutE/hqdefault.jpg
Will You Marry me,"Divya Kumar, Jonita Gandhi",BollywoodDance,Bhoomi,joy,QCt_AWTmFwc,https://i.ytimg.com/vi/QCt_AWTmFwc/hqdefault.jpg
Tera Hoke Rahoon,Arijit Singh,BollywoodRomantic,Behen Hogi Teri,love,do9IM29yJFU,https://i.ytimg.com/vi/do9IM29yJFU/hqdefault.jpg
Aa Re Pritam Pyaare,"Mamta Sharma, Sarosh Sami",BollywoodDance,Rowdy Rathore,joy,e3lgNmuajrg,https://i.ytimg.com/vi/e3lgNmuajrg/hqdefault.jpg
Mehboob Mere Mehboob Mere,"Lata Mangeshkar, Mukesh",BollywoodRomantic,Pathar Ke Sanam,love,OOA9JxOPzrE,https://i.ytimg.com/vi/OOA9JxOPzrE/hqdefault.jpg
Dil Mein Chhupa Loonga,"Armaan Malik, Meet Bros, Tulsi Kumar",BollywoodRomanticSensual,Wajah Tum Ho,love,58kOTj-Fe1E,https://i.ytimg.com/vi/58kOTj-Fe1E/hqdefault.jpg
Dance Basanti,"Anushka Manchanda, Vishal Dadlani",BollywoodDance,Ungli,joy,juZN67BA_5w,https://i.ytimg.com/vi/juZN67BA_5w/hqdefault.jpg
Teri Meri Prem Kahani,"Rahat Fateh Ali Khan, Shreya Ghoshal",BollywoodSad,Bodyguard,sadness,tyxswccv-VU,https://i.ytimg.com/vi/tyxswccv-VU/hqdefault.jpg
Lungi Dance,Yo Yo Honey Singh,BollywoodDance,Chennai Express,joy,69CEiHfS_mc,https://i.ytimg.com/vi/69CEiHfS_mc/hqdefault.jpg
Jeena Jeena,Atif Aslam,BollywoodRomanticSad,Badlapur,sadness,zFdi834FiZ4,https://i.ytimg.com/vi/zFdi834FiZ4/hqdefault.jpg
Thare Vaaste,Divya Kumar,BollywoodPatriotic,Parmanu The Story of Pokhran,neutral,#NAME?,https://i.ytimg.com/vi/-PDi7lF7nJw/hqdefault.jpg
